gene_name	MMRF_1879_1_BM_CD138pos_T2_TSMRU_L05344	MMRF_2453_1_BM_CD138pos_T2_TSMRU_L10609
TSPAN6	1.9811	0.0828
TNMD	0	0
DPM1	32.8346	55.7972
SCYL3	3.6243	2.4036
C1orf112	1.4369	0.6552
FGR	0.3019	4.6733
CFH	0.0924	0.6102
FUCA2	10.5401	25.4415
GCLC	4.594	3.5235
NFYA	24.8731	11.0297
STPG1	1.069	0.4386
NIPAL3	5.2473	5.151
LAS1L	11.1832	9.157
ENPP4	6.9178	4.0178
SEMA3F	0.0142	0.1327
CFTR	0.0027	0.1271
ANKIB1	11.7852	19.9445
CYP51A1	1.9254	1.9627
KRIT1	12.3902	10.9373
RAD52	4.0055	2.4355
MYH16	0.0072	0.0035
BAD	14.7124	18.894
LAP3	17.929	31.0812
CD99	51.237	4.7419
HS3ST1	0.0503	0.0622
AOC1	0.0119	0.0289
WNT16	6.1675	1.0363
HECW1	0	0.0032
MAD1L1	2.3402	4.5643
LASP1	16.1535	13.6672
SNX11	6.1529	6.4746
TMEM176A	0.2753	0.5333
M6PR	29.7458	23.6264
KLHL13	0.2221	0.0221
CYP26B1	0.0045	0.1453
ICA1	3.4547	3.7393
DBNDD1	2.4559	0.0968
ALS2	6.0103	1.6698
CASP10	29.7896	39.188
CFLAR	34.8283	16.2008
TFPI	0.0584	0.2282
NDUFAF7	5.8022	4.3136
RBM5	17.3859	12.1392
MTMR7	0.649	0.3027
SLC7A2	0.0202	0.095
ARF5	23.1198	29.5731
SARM1	2.2236	0.6287
POLDIP2	29.576	39.1778
PLXND1	0.74	2.604
AK2	14.318	15.5933
CD38	94.8806	31.6357
FKBP4	7.5144	32.7103
KDM1A	13.8328	11.542
RBM6	47.7043	28.1745
CAMKK1	0.6082	4.0702
RECQL	8.3594	8.3197
CCDC132	3.8375	2.8784
HSPB6	0.0132	0.0385
ARHGAP33	5.8221	3.6996
NDUFAB1	21.5772	41.7607
PDK4	2.3464	1.3148
SLC22A16	0	0.0452
ZMYND10	0.2958	0.3416
ABCB5	0	0.0716
ARX	0.1744	0.1766
SLC25A13	4.2471	5.3048
ST7	11.7194	9.5207
CDC27	10.7799	16.9773
SLC4A1	0.1423	0.2172
CALCR	0.0113	0
HCCS	6.5137	8.8164
DVL2	6.8153	5.3673
PRSS22	0	0.037
UPF1	16.9298	19.1577
SKAP2	5.015	8.6633
SLC25A5	63.2096	176.1027
CCDC109B	14.49	8.4302
HOXA11	0.0099	0
POLR2J	25.4282	36.9877
DHX33	5.5104	7.448
MEOX1	0	0.0163
THSD7A	0.0021	0.0889
LIG3	3.2248	3.8726
RPAP3	5.9158	5.989
ACSM3	0.9125	0.9658
AC004381.6	0.7594	0.7731
CIAPIN1	3.2752	4.4756
SPPL2B	12.2202	13.8602
FAM214B	4.0525	3.312
COPZ2	11.0996	3.6993
PRKAR2B	0.5545	0.4655
MSL3	17.1829	17.7223
CREBBP	16.6996	6.7505
BZRAP1	5.533	0.3015
MPO	0.0905	0.1065
PON1	0	0
GCFC2	3.8304	4.8057
WDR54	5.7486	8.4105
CROT	3.1646	3.061
ABCB4	0.143	0.0855
KMT2E	25.3961	18.0668
